campus,branch,marks,year
Pilani,B.E. Chemical,273,2015
Pilani,B.E. Civil,270,2015
Pilani,B.E. Mechanical,299,2015
Pilani,B.E. Computer Science,327,2015
Pilani,B.E. Electronics & Instrumentation,294,2015
Pilani,B.E. Manufacturing,267,2015
Pilani,B. Pharm,185,2015
Pilani,M.Sc. Biological Sciences,259,2015
Pilani,M.Sc. Chemistry,266,2015
Pilani,M.Sc. Economics,282,2015
Pilani,M.Sc. Mathematics,280,2015
Pilani,M.Sc. Physics,276,2015
Pilani,B.E. Electrical & Electronics,313,2015
Goa,B.E. Chemical,258,2015
Goa,B.E. Mechanical,276,2015
Goa,B.E. Electrical & Electronics,283,2015
Goa,B.E. Computer Science,304,2015
Goa,B.E. Electronics & Instrumentation,269,2015
Goa,M.Sc. Chemistry,256,2015
Goa,M.Sc. Biological Sciences,253,2015
Goa,M.Sc. Economics,267,2015
Goa,M.Sc. Mathematics,264,2015
Goa,M.Sc. Physics,262,2015
Hyderabad,B.E. Chemical,256,2015
Hyderabad,B.E. Civil,262,2015
Hyderabad,B.E. Electrical & Electronics,275,2015
Hyderabad,B.E. Mechanical,273,2015
Hyderabad,B.E. Computer Science,293,2015
Hyderabad,B.E. Electronics & Instrumentation,269,2015
Hyderabad,B.E. Electronics & Communication,282,2015
Hyderabad,B. Pharm,174,2015
Hyderabad,M.Sc. Biological Sciences,253,2015
Hyderabad,M.Sc. Chemistry,255,2015
Hyderabad,M.Sc. Economics,264,2015
Hyderabad,M.Sc. Mathematics,261,2015
Hyderabad,M.Sc. Physics,261,2015
